"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TEMP"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-13","  93.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-20","  94.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-22","  96.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-03-30","  94.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-03","  97.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-10","  97.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-16","  97.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-20","  96.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-24","  93.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-27","  98.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-04-28","  99.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-03","  93.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-08","  87.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-11","  92.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-20","  97.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-22","  96.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-30","  93.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-05-31","  99.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-02","  97.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-03","  98.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-04","  94.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-05","  86.3"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-06","  88.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-08"," 100.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-11","  91.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-13","  92.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-15","  83.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-16","  86.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-17","  93.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-19","  82.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-20","  88.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-22","  92.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-23","  75.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-26","  91.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-06-28","  89.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-07-01","  84.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-07-02","  89.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-07-04","  81.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2009-07-05","  88.7"
