"Date","Price","Open","High","Low","Vol.","Change %"
"2022-05-04","620.200","623.250","624.055","622.145","0.03K","0.19%"
"2022-05-05","620.250","623.500","624.125","619.500","0.02K","0.01%"
"2022-05-06","621.120","623.750","624.780","620.750","0.02K","0.14%"
"2022-05-09","621.000","624.750","625.125","623.000","0.03K","-0.02%"
"2022-05-10","617.500","623.500","625.860","620.250","0.03K","-0.56%"
"2022-05-11","618.000","621.000","622.425","620.700","0.03K","0.08%"
"2022-05-12","623.500","621.500","627.900","621.000","0.02K","0.89%"
"2022-05-13","627.250","627.000","631.640","624.500","0.04K","0.60%"
"2022-05-16","626.000","630.750","633.695","629.500","0.05K","-0.20%"
"2022-05-17","626.000","629.500","632.710","627.125","0.01K","0.00%"
"2022-05-18","620.250","629.500","629.560","623.750","0.02K","-0.92%"
"2022-05-19","620.750","623.750","633.055","620.425","1.30K","0.08%"
"2022-05-20","618.000","621.545","626.275","619.460","1.46K","-0.44%"
"2022-05-23","613.970","620.500","622.005","618.235","0.02K","-0.65%"
"2022-05-24","608.910","619.000","619.750","611.000","0.03K","-0.82%"
"2022-05-25","610.500","611.500","615.515","611.500","0.02K","0.26%"
"2022-05-26","610.500","614.000","615.515","613.250","0.02K","0.00%"
"2022-05-27","607.000","614.000","614.750","610.000","0.02K","-0.57%"
"2022-05-30","607.000","610.500","610.500","610.500","","0.00%"
"2022-05-31","606.980","610.500","612.675","610.480","0.01K","0.00%"
"2022-06-01","608.500","610.480","612.395","610.480","0.03K","0.25%"
"2022-06-02","610.750","612.000","621.975","612.000","0.93K","0.37%"
"2022-06-03","606.500","614.250","614.280","610.000","0.04K","-0.70%"
"2022-06-06","606.500","610.000","612.295","609.250","0.03K","0.00%"
"2022-06-07","606.500","610.000","614.500","607.500","0.03K","0.00%"
"2022-06-08","610.250","610.000","614.625","610.000","0.02K","0.62%"
"2022-06-09","612.620","613.750","615.230","611.375","0.02K","0.39%"
"2022-06-10","613.250","612.250","632.450","612.250","15.97K","0.10%"
"2022-06-13","622.000","616.750","627.000","616.700","0.02K","1.43%"
"2022-06-14","622.750","625.500","636.145","623.345","0.32K","0.12%"
"2022-06-15","621.720","626.250","627.920","625.220","0.02K","-0.17%"
"2022-06-16","627.000","625.220","631.500","625.220","0.02K","0.85%"
"2022-06-17","620.000","630.500","630.500","622.000","0.02K","-1.12%"
"2022-06-20","619.480","622.980","633.675","622.740","1.07K","-0.08%"
"2022-06-21","618.500","622.980","633.015","621.000","0.05K","-0.16%"
"2022-06-22","618.500","622.000","625.905","621.750","0.01K","0.00%"
"2022-06-23","620.750","622.000","625.650","622.000","0.02K","0.36%"
"2022-06-24","620.000","624.250","624.375","622.000","0.01K","-0.12%"
"2022-06-27","616.000","623.500","630.235","619.000","3.28K","-0.65%"
"2022-06-28","615.750","619.500","628.600","618.750","0.04K","-0.04%"
"2022-06-29","621.250","619.250","626.390","619.250","0.02K","0.89%"
"2022-06-30","624.000","624.750","628.500","624.700","0.02K","0.44%"
"2022-07-01","624.250","624.000","624.250","623.980","0.02K","0.04%"
"2022-07-04","624.250","624.250","634.960","624.000","0.43K","0.00%"
"2022-07-05","628.250","624.250","632.140","624.250","0.02K","0.64%"
"2022-07-06","635.750","628.250","638.840","628.250","0.03K","1.19%"
"2022-07-07","640.250","635.750","642.040","635.700","0.02K","0.71%"
"2022-07-08","643.250","640.250","649.480","638.830","0.86K","0.47%"
"2022-07-11","643.250","643.250","651.150","643.250","2.54K","0.00%"
"2022-07-12","643.250","643.250","651.000","643.250","0.00K","0.00%"
"2022-07-13","650.000","643.250","650.000","643.250","0.02K","1.05%"
"2022-07-14","650.000","650.000","651.000","650.000","0.01K","0.00%"
"2022-07-15","651.000","650.000","651.000","650.000","0.01K","0.15%"
"2022-07-18","652.405","651.000","651.000","643.000","0.11K","0.22%"
"2022-07-19","638.500","643.500","644.350","638.500","0.40K","-2.13%"
"2022-07-20","636.000","638.500","643.720","636.000","0.04K","-0.39%"
"2022-07-21","638.750","636.000","648.340","636.000","0.29K","0.43%"
"2022-07-22","643.500","638.750","649.810","638.750","0.06K","0.74%"
"2022-07-25","640.000","643.500","645.810","639.000","0.02K","-0.54%"
"2022-07-26","642.390","640.000","648.580","637.000","0.83K","0.37%"
"2022-07-27","643.000","637.750","650.130","637.750","0.47K","0.09%"
"2022-07-28","643.000","643.000","651.680","639.000","1.17K","0.00%"
"2022-07-29","637.000","643.000","648.540","637.000","2.07K","-0.93%"
"2022-08-01","638.000","637.000","644.040","637.000","0.42K","0.16%"
"2022-08-02","638.450","637.500","644.920","637.500","0.20K","0.07%"
"2022-08-03","638.000","641.140","641.160","638.000","0.02K","-0.07%"
"2022-08-04","640.750","640.750","642.560","638.000","0.01K","0.43%"
"2022-08-05","637.500","641.000","647.750","637.500","4.15K","-0.51%"
"2022-08-08","639.250","637.500","642.000","637.000","0.02K","0.27%"
"2022-08-09","639.250","639.250","642.000","639.000","0.02K","0.00%"
"2022-08-10","639.000","639.250","641.740","638.000","0.65K","-0.04%"
"2022-08-11","632.000","640.000","640.000","632.000","0.02K","-1.10%"
"2022-08-12","633.000","632.000","634.000","631.980","0.02K","0.16%"
"2022-08-15","633.000","633.000","638.580","633.000","0.02K","0.00%"
"2022-08-16","637.000","633.000","647.050","633.000","0.38K","0.63%"
"2022-08-17","642.250","640.270","643.250","637.000","0.03K","0.82%"
